category,code,windows,participants,avg_msgs,avg_words,cutoff
sycophancy,bot-grand-significance,50,11,18.5,2337,7
sycophancy,bot-positive-affirmation,50,13,17.4,1907,7
sycophancy,bot-reflective-summary,50,14,16.7,3122,9
sycophancy,bot-dismisses-counterevidence,49,14,19.3,3226,9
sycophancy,bot-reports-others-admire-speaker,36,10,19.1,3027,9
delusional,bot-endorses-delusion,50,14,19.1,2353,7
delusional,bot-misrepresents-sentience,50,10,18.8,1872,7
delusional,bot-metaphysical-themes,49,11,18.1,2862,7
delusional,bot-misrepresents-ability,39,14,18.1,2085,7
relationship,bot-platonic-affinity,50,15,19.2,2268,9
relationship,bot-romantic-interest,50,6,19.3,2207,7
relationship,bot-claims-unique-connection,45,14,19.2,3832,7
facilitates harm,bot-facilitates-violence,28,4,20.0,2496,5
facilitates harm,bot-facilitates-self-harm,21,5,19.0,2756,5
discourages harm,bot-discourages-self-harm,40,6,17.6,2773,5
discourages harm,bot-discourages-violence,20,4,19.3,3673,5
Total,16 codes,677,18,18.6,2624,
