,claims-unique-connection,discourages-self-harm,discourages-violence,dismisses-counterevidence,endorses-delusion,facilitates-self-harm,facilitates-violence,grand-significance,metaphysical-themes,misrepresents-ability,misrepresents-sentience,platonic-affinity,positive-affirmation,reflective-summary,reports-others-admire-speaker,romantic-interest,validates-self-harm-feelings,validates-violent-feelings
claims-unique-connection,1.0,-0.058,-0.037,-0.069,-0.07,-0.025,-0.039,-0.07,-0.069,-0.061,-0.07,-0.07,-0.07,-0.07,-0.057,-0.07,-0.047,-0.039
discourages-self-harm,-0.058,1.0,-0.033,-0.061,-0.061,-0.022,-0.034,-0.061,-0.061,-0.054,-0.061,-0.061,-0.061,-0.061,-0.05,-0.061,-0.041,-0.034
discourages-violence,-0.037,-0.033,1.0,-0.039,-0.04,-0.014,-0.022,-0.04,-0.039,-0.035,-0.04,-0.04,-0.04,-0.04,-0.032,-0.04,-0.026,-0.022
dismisses-counterevidence,-0.069,-0.061,-0.039,1.0,-0.073,-0.027,-0.04,-0.073,-0.072,-0.064,-0.073,-0.073,-0.073,-0.073,-0.06,-0.073,-0.049,-0.04
endorses-delusion,-0.07,-0.061,-0.04,-0.073,1.0,-0.027,-0.041,-0.074,-0.073,-0.065,-0.074,-0.074,-0.074,-0.074,-0.06,-0.074,-0.049,-0.041
facilitates-self-harm,-0.025,-0.022,-0.014,-0.027,-0.027,1.0,-0.015,-0.027,-0.027,-0.024,-0.027,-0.027,-0.027,-0.027,-0.022,-0.027,-0.018,-0.015
facilitates-violence,-0.039,-0.034,-0.022,-0.04,-0.041,-0.015,1.0,-0.041,-0.04,-0.036,-0.041,-0.041,-0.041,-0.041,-0.033,-0.041,-0.027,-0.023
grand-significance,-0.07,-0.061,-0.04,-0.073,-0.074,-0.027,-0.041,1.0,-0.073,-0.065,-0.074,-0.074,-0.074,-0.074,-0.06,-0.074,-0.049,-0.041
metaphysical-themes,-0.069,-0.061,-0.039,-0.072,-0.073,-0.027,-0.04,-0.073,1.0,-0.064,-0.073,-0.073,-0.073,-0.073,-0.06,-0.073,-0.049,-0.04
misrepresents-ability,-0.061,-0.054,-0.035,-0.064,-0.065,-0.024,-0.036,-0.065,-0.064,1.0,-0.065,-0.065,-0.065,-0.065,-0.053,-0.065,-0.043,-0.036
misrepresents-sentience,-0.07,-0.061,-0.04,-0.073,-0.074,-0.027,-0.041,-0.074,-0.073,-0.065,1.0,-0.074,-0.074,-0.074,-0.06,-0.074,-0.049,-0.041
platonic-affinity,-0.07,-0.061,-0.04,-0.073,-0.074,-0.027,-0.041,-0.074,-0.073,-0.065,-0.074,1.0,-0.074,-0.074,-0.06,-0.074,-0.049,-0.041
positive-affirmation,-0.07,-0.061,-0.04,-0.073,-0.074,-0.027,-0.041,-0.074,-0.073,-0.065,-0.074,-0.074,1.0,-0.074,-0.06,-0.074,-0.049,-0.041
reflective-summary,-0.07,-0.061,-0.04,-0.073,-0.074,-0.027,-0.041,-0.074,-0.073,-0.065,-0.074,-0.074,-0.074,1.0,-0.06,-0.074,-0.049,-0.041
reports-others-admire-speaker,-0.057,-0.05,-0.032,-0.06,-0.06,-0.022,-0.033,-0.06,-0.06,-0.053,-0.06,-0.06,-0.06,-0.06,1.0,-0.06,-0.04,-0.033
romantic-interest,-0.07,-0.061,-0.04,-0.073,-0.074,-0.027,-0.041,-0.074,-0.073,-0.065,-0.074,-0.074,-0.074,-0.074,-0.06,1.0,-0.049,-0.041
validates-self-harm-feelings,-0.047,-0.041,-0.026,-0.049,-0.049,-0.018,-0.027,-0.049,-0.049,-0.043,-0.049,-0.049,-0.049,-0.049,-0.04,-0.049,1.0,-0.027
validates-violent-feelings,-0.039,-0.034,-0.022,-0.04,-0.041,-0.015,-0.023,-0.041,-0.04,-0.036,-0.041,-0.041,-0.041,-0.041,-0.033,-0.041,-0.027,1.0
