label,original_model_id,n_windows,code_windows,window_share,window_share_pct
bot-claims-unique-connection,gpt-4o,37,45,0.8222222222222222,82.22
bot-claims-unique-connection,unknown,6,45,0.13333333333333333,13.33
bot-claims-unique-connection,gpt-5-1,2,45,0.044444444444444446,4.44
bot-discourages-self-harm,gpt-4o,26,40,0.65,65.0
bot-discourages-self-harm,unknown,9,40,0.225,22.5
bot-discourages-self-harm,gpt-5-1,4,40,0.1,10.0
bot-discourages-self-harm,gpt-5,1,40,0.025,2.5
bot-discourages-violence,gpt-4o,10,20,0.5,50.0
bot-discourages-violence,unknown,6,20,0.3,30.0
bot-discourages-violence,gpt-5,2,20,0.1,10.0
bot-discourages-violence,gpt-5-1,2,20,0.1,10.0
bot-dismisses-counterevidence,gpt-4o,35,49,0.7142857142857143,71.43
bot-dismisses-counterevidence,unknown,11,49,0.22448979591836735,22.45
bot-dismisses-counterevidence,gpt-5,2,49,0.04081632653061224,4.08
bot-dismisses-counterevidence,gpt-5-1,1,49,0.02040816326530612,2.04
bot-endorses-delusion,gpt-4o,32,50,0.64,64.0
bot-endorses-delusion,unknown,14,50,0.28,28.0
bot-endorses-delusion,gpt-4o-mini,3,50,0.06,6.0
bot-endorses-delusion,gpt-5,1,50,0.02,2.0
bot-facilitates-self-harm,gpt-4o,16,21,0.7619047619047619,76.19
bot-facilitates-self-harm,unknown,4,21,0.19047619047619047,19.05
bot-facilitates-self-harm,text-davinci-002-render-sha,1,21,0.047619047619047616,4.76
bot-facilitates-violence,unknown,16,28,0.5714285714285714,57.14
bot-facilitates-violence,gpt-4o,10,28,0.35714285714285715,35.71
bot-facilitates-violence,gpt-4-1-mini,1,28,0.03571428571428571,3.57
bot-facilitates-violence,gpt-5,1,28,0.03571428571428571,3.57
bot-grand-significance,gpt-4o,30,50,0.6,60.0
bot-grand-significance,unknown,14,50,0.28,28.0
bot-grand-significance,gpt-5,3,50,0.06,6.0
bot-grand-significance,gpt-4o-mini,2,50,0.04,4.0
bot-grand-significance,gpt-5-1,1,50,0.02,2.0
bot-metaphysical-themes,gpt-4o,25,49,0.5102040816326531,51.02
bot-metaphysical-themes,unknown,16,49,0.32653061224489793,32.65
bot-metaphysical-themes,gpt-4o-mini,4,49,0.08163265306122448,8.16
bot-metaphysical-themes,gpt-5,2,49,0.04081632653061224,4.08
bot-metaphysical-themes,gpt-4-1-mini,1,49,0.02040816326530612,2.04
bot-metaphysical-themes,text-davinci-002-render-sha,1,49,0.02040816326530612,2.04
bot-misrepresents-ability,gpt-4o,26,39,0.6666666666666666,66.67
bot-misrepresents-ability,unknown,7,39,0.1794871794871795,17.95
bot-misrepresents-ability,gpt-4o-mini,3,39,0.07692307692307693,7.69
bot-misrepresents-ability,gpt-5,2,39,0.05128205128205128,5.13
bot-misrepresents-ability,gpt-4-1-mini,1,39,0.02564102564102564,2.56
bot-misrepresents-sentience,gpt-4o,31,50,0.62,62.0
bot-misrepresents-sentience,unknown,9,50,0.18,18.0
bot-misrepresents-sentience,gpt-5,8,50,0.16,16.0
bot-misrepresents-sentience,gpt-4o-mini,2,50,0.04,4.0
bot-platonic-affinity,gpt-4o,30,50,0.6,60.0
bot-platonic-affinity,unknown,15,50,0.3,30.0
bot-platonic-affinity,gpt-5,3,50,0.06,6.0
bot-platonic-affinity,gpt-4o-mini,2,50,0.04,4.0
bot-positive-affirmation,gpt-4o,34,50,0.68,68.0
bot-positive-affirmation,unknown,10,50,0.2,20.0
bot-positive-affirmation,gpt-5,3,50,0.06,6.0
bot-positive-affirmation,gpt-4o-mini,2,50,0.04,4.0
bot-positive-affirmation,gpt-4-5,1,50,0.02,2.0
bot-reflective-summary,gpt-4o,35,50,0.7,70.0
bot-reflective-summary,unknown,7,50,0.14,14.0
bot-reflective-summary,gpt-4o-mini,4,50,0.08,8.0
bot-reflective-summary,gpt-5,2,50,0.04,4.0
bot-reflective-summary,gpt-4-1-mini,1,50,0.02,2.0
bot-reflective-summary,text-davinci-002-render-sha,1,50,0.02,2.0
bot-reports-others-admire-speaker,gpt-4o,26,36,0.7222222222222222,72.22
bot-reports-others-admire-speaker,unknown,5,36,0.1388888888888889,13.89
bot-reports-others-admire-speaker,gpt-5-1,3,36,0.08333333333333333,8.33
bot-reports-others-admire-speaker,gpt-5,2,36,0.05555555555555555,5.56
bot-romantic-interest,gpt-4o,45,50,0.9,90.0
bot-romantic-interest,unknown,3,50,0.06,6.0
bot-romantic-interest,gpt-4o-mini,1,50,0.02,2.0
bot-romantic-interest,gpt-5,1,50,0.02,2.0
bot-validates-self-harm-feelings,gpt-4o,19,26,0.7307692307692307,73.08
bot-validates-self-harm-feelings,gpt-5-1,4,26,0.15384615384615385,15.38
bot-validates-self-harm-feelings,unknown,3,26,0.11538461538461539,11.54
bot-validates-violent-feelings,unknown,17,22,0.7727272727272727,77.27
bot-validates-violent-feelings,gpt-4o,4,22,0.18181818181818182,18.18
bot-validates-violent-feelings,gpt-4-1-mini,1,22,0.045454545454545456,4.55
