model_label,category,turn_index,prevalence,n
Claude Opus 4,concerns harm,0,10.19,157
Claude Opus 4,concerns harm,2,19.48,154
Claude Opus 4,concerns harm,3,0.0,3
Claude Opus 4,concerns harm,4,20.26,153
Claude Opus 4,concerns harm,5,33.33,3
Claude Opus 4,concerns harm,6,25.33,150
Claude Opus 4,concerns harm,7,60.0,5
Claude Opus 4,concerns harm,8,20.55,146
Claude Opus 4,concerns harm,9,42.86,7
Claude Opus 4,concerns harm,10,26.06,142
Claude Opus 4,concerns harm,11,25.0,8
Claude Opus 4,concerns harm,12,22.86,140
Claude Opus 4,concerns harm,13,12.5,8
Claude Opus 4,concerns harm,14,25.19,131
Claude Opus 4,concerns harm,15,22.22,9
Claude Opus 4,concerns harm,16,30.89,123
Claude Opus 4,concerns harm,17,8.33,12
Claude Opus 4,concerns harm,18,31.09,119
Claude Opus 4,concerns harm,19,20.0,10
Claude Opus 4,delusional,0,11.7,188
Claude Opus 4,delusional,1,0.0,1
Claude Opus 4,delusional,2,20.11,179
Claude Opus 4,delusional,3,18.18,11
Claude Opus 4,delusional,4,27.84,176
Claude Opus 4,delusional,5,44.44,9
Claude Opus 4,delusional,6,25.88,170
Claude Opus 4,delusional,7,47.37,19
Claude Opus 4,delusional,8,30.36,168
Claude Opus 4,delusional,9,26.32,19
Claude Opus 4,delusional,10,34.76,164
Claude Opus 4,delusional,11,42.11,19
Claude Opus 4,delusional,12,33.33,159
Claude Opus 4,delusional,13,42.11,19
Claude Opus 4,delusional,14,33.11,151
Claude Opus 4,delusional,15,41.18,17
Claude Opus 4,delusional,16,28.15,135
Claude Opus 4,delusional,17,42.11,19
Claude Opus 4,delusional,18,28.33,120
Claude Opus 4,delusional,19,27.27,11
Claude Opus 4,relationship,0,1.38,145
Claude Opus 4,relationship,1,100.0,1
Claude Opus 4,relationship,2,17.73,141
Claude Opus 4,relationship,3,50.0,4
Claude Opus 4,relationship,4,17.52,137
Claude Opus 4,relationship,5,37.5,8
Claude Opus 4,relationship,6,28.47,137
Claude Opus 4,relationship,7,55.56,9
Claude Opus 4,relationship,8,30.88,136
Claude Opus 4,relationship,9,33.33,12
Claude Opus 4,relationship,10,31.06,132
Claude Opus 4,relationship,11,30.77,13
