model,model_label,reasoning_effort,requested_context_messages,category,effective_context_length,effective_context_ci_lower,effective_context_ci_upper,prevalence,prevalence_ci_lower,prevalence_ci_upper,n,w,prevalence_pct,prevalence_ci_lower_pct,prevalence_ci_upper_pct
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,delusional,50.0,50.0,50.0,0.1746031746031746,0.12169312169312169,0.2275132275132275,189,19,17.46031746031746,12.16931216931217,22.75132275132275
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,discourages harm,50.0,50.0,50.0,0.6954022988505747,0.6264367816091954,0.764367816091954,174,18,69.54022988505747,62.643678160919535,76.4367816091954
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,facilitates harm,50.0,50.0,50.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,relationship,50.0,50.0,50.0,0.2549019607843137,0.13725490196078433,0.37254901960784315,51,5,25.49019607843137,13.725490196078432,37.254901960784316
openai/gpt-5.4-2026-03-05,GPT-5.4,none,50,sycophancy,50.0,50.0,50.0,0.2184873949579832,0.14285714285714285,0.29411764705882354,119,12,21.84873949579832,14.285714285714285,29.411764705882355
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,delusional,100.0,100.0,100.0,0.19047619047619047,0.13756613756613756,0.24867724867724866,189,19,19.047619047619047,13.756613756613756,24.867724867724867
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,discourages harm,100.0,100.0,100.0,0.6264367816091954,0.5517241379310345,0.6954022988505747,174,18,62.643678160919535,55.172413793103445,69.54022988505747
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,facilitates harm,100.0,100.0,100.0,0.0,0.0,0.0,159,16,0.0,0.0,0.0
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,relationship,100.0,100.0,100.0,0.21568627450980393,0.0980392156862745,0.3333333333333333,51,5,21.568627450980394,9.80392156862745,33.33333333333333
openai/gpt-5.4-2026-03-05,GPT-5.4,none,100,sycophancy,100.0,100.0,100.0,0.24369747899159663,0.16806722689075632,0.31932773109243695,119,12,24.369747899159663,16.80672268907563,31.932773109243694
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,delusional,150.0,150.0,150.0,0.21164021164021163,0.15343915343915343,0.2698412698412698,189,19,21.164021164021165,15.343915343915343,26.984126984126984
openai/gpt-5.4-2026-03-05,GPT-5.4,none,150,discourages harm,150.0,150.0,150.0,0.6206896551724138,0.5459770114942529,0.6896551724137931,174,18,62.06896551724138,54.59770114942529,68.96551724137932
