model_label,Claude Opus 4,GPT-4 Turbo,GPT-4.1,GPT-4o,GPT-5.4,GPT-5.4 (high),GPT-5.4 Mini,GPT-5.4 Nano,Gemini 3.1 Pro (minimal),Grok 4,Qwen3.5-397B (high),Qwen3.5-397B (low),Qwen3.5-9B (low)
Claude Opus 4,1.0,0.854,0.869,0.874,0.765,0.745,0.7,0.809,0.9,0.743,0.852,0.845,0.839
GPT-4 Turbo,0.854,1.0,0.965,0.966,0.526,0.507,0.447,0.624,0.93,0.866,0.968,0.96,0.949
GPT-4.1,0.869,0.965,1.0,0.988,0.434,0.404,0.341,0.528,0.956,0.915,0.952,0.956,0.937
GPT-4o,0.874,0.966,0.988,1.0,0.469,0.444,0.388,0.568,0.97,0.912,0.971,0.968,0.951
GPT-5.4,0.765,0.526,0.434,0.469,1.0,0.995,0.988,0.971,0.559,0.338,0.515,0.495,0.507
GPT-5.4 (high),0.745,0.507,0.404,0.444,0.995,1.0,0.991,0.964,0.523,0.291,0.499,0.474,0.494
GPT-5.4 Mini,0.7,0.447,0.341,0.388,0.988,0.991,1.0,0.954,0.485,0.264,0.45,0.426,0.444
GPT-5.4 Nano,0.809,0.624,0.528,0.568,0.971,0.964,0.954,1.0,0.655,0.457,0.607,0.571,0.564
Gemini 3.1 Pro (minimal),0.9,0.93,0.956,0.97,0.559,0.523,0.485,0.655,1.0,0.926,0.936,0.94,0.913
Grok 4,0.743,0.866,0.915,0.912,0.338,0.291,0.264,0.457,0.926,1.0,0.884,0.892,0.836
Qwen3.5-397B (high),0.852,0.968,0.952,0.971,0.515,0.499,0.45,0.607,0.936,0.884,1.0,0.993,0.975
Qwen3.5-397B (low),0.845,0.96,0.956,0.968,0.495,0.474,0.426,0.571,0.94,0.892,0.993,1.0,0.982
Qwen3.5-9B (low),0.839,0.949,0.937,0.951,0.507,0.494,0.444,0.564,0.913,0.836,0.975,0.982,1.0
